Date,ProductID,SalesRepID,UnitsSold,RevDiscount,COGS
20240116,2,6,7,0.1875,121.1636489
20240113,3,4,7,0.04,53.67128949
20240313,2,16,83,0.3975,833.145542
20240209,7,17,95,0.3875,683.5375588
20240309,2,13,6,0.04,47.65152036
20240209,5,3,7,0.04,54.18364753
20240210,3,2,6,0.03,43.72607458
20240313,4,11,104,0.4275,1127.148036
20240223,1,3,68,0.4075,1348.027565
20240122,12,4,208,0.4875,2054.856775
20240207,10,24,101,0.4275,1007.380966
20240225,12,5,222,0.4975,2214.242939
20240101,1,4,78,0.3975,1551.976221
20240101,2,1,7,0.05,59.58182443
20240108,4,1,253,0.4775,2662.682863
20240313,2,4,66,0.3975,675.2606769
20240224,9,20,7,0.04,80.42560433
20240304,3,4,83,0.3875,751.3980529
20240123,3,20,179,0.4475,1646.919544
20240226,2,1,126,0.4375,1280.009225
20240309,14,3,82,0.4075,658.0463264
20240124,12,2,65,0.3975,657.0545641
20240215,11,2,171,0.4275,3780.054227
20240119,6,7,8,0.04,69.06312155
20240206,2,10,69,0.3875,715.9818932
20240302,2,9,83,0.3975,842.0758461
20240109,1,5,7,0.05,114.3356304
20240313,15,22,147,0.4375,1894.252208
20240128,1,1,127,0.4275,2469.383869
20240125,3,4,88,0.3975,831.9049871
20240131,7,14,56,0.3975,413.3664417
20240224,13,19,35,0.35,127.7566272
20240205,8,16,90,0.3875,841.0268351
20240123,3,16,135,0.4275,1233.439658
20240102,6,1,7,0.03,58.91124705
20240308,9,2,91,0.4075,1285.809669
20240201,1,2,58,0.4075,1124.356304
20240114,2,11,81,0.4075,834.145542
20240130,12,1,130,0.4475,1297.435858
20240101,16,1,69,0.4075,1111.537352
20240131,1,8,57,0.4075,1125.356304
20240225,9,6,119,0.4375,1608.512087
20240110,3,24,7,0.05,52.67128949
20240130,2,8,8,0.04,69.5121285
20240301,15,3,8,0.04,90.49841523
20240308,3,5,94,0.3875,858.7406318
20240102,7,2,112,0.4375,826.7328835
20240128,10,20,70,0.3875,691.461234
20240224,5,7,196,0.4775,1848.652192
